#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  delta  214  2611.91069899
CI  delta  215  2575.96341959
CI  delta  216  2540.6727921
CI  delta  217  2506.02389043
CI  delta  218  2472.00219379
CI  delta  219  2438.59357391
CI  delta  220  2405.78428272
CI  delta  221  2373.56094046
CI  delta  222  2341.91052422
CI  delta  223  2310.82035689
CI  delta  224  2280.27809649
CI  delta  225  2250.27172589
CI  delta  226  2220.78954284
CI  delta  227  2191.82015045
CI  delta  228  2163.35244788
CI  delta  229  2135.37562143
CI  delta  230  2107.8791359
CI  delta  231  2080.85272627
CI  delta  232  2054.28638965
CI  delta  233  2028.17037748
CI  delta  234  2002.49518805
CI  delta  235  1977.25155923
CI  delta  236  1952.43046144
CI  delta  237  1928.02309085
CI  delta  238  1904.02086288
CI  delta  239  1880.4154058
CI  delta  240  1857.19855462
CI  delta  241  1834.36234516
CI  delta  242  1811.8990083
CI  delta  243  1789.80096446
CI  delta  244  1768.06081816
CI  delta  245  1746.67135292
CI  delta  246  1725.62552613
CI  delta  247  1704.91646426
CI  delta  248  1684.53745808
CI  delta  249  1664.48195814
CI  delta  250  1644.74357033
CI  delta  251  1625.31605161
CI  delta  252  1606.19330583
CI  delta  253  1587.36937976
CI  delta  254  1568.83845916
CI  delta  255  1550.59486504
CI  delta  256  1532.63304995
CI  delta  257  1514.94759452
CI  delta  258  1497.53320393
CI  delta  259  1480.38470467
CI  delta  260  1463.49704126
CI  delta  261  1446.86527311
CI  delta  262  1430.48457153
CI  delta  263  1414.35021675
CI  delta  264  1398.45759509
CI  delta  265  1382.80219614
CI  delta  266  1367.37961013
CI  delta  267  1352.1855253
CI  delta  268  1337.21572535
CI  delta  269  1322.46608701
CI  delta  270  1307.93257762
CI  delta  271  1293.61125286
CI  delta  272  1279.49825446
CI  delta  273  1265.58980805
CI  delta  274  1251.88222101
CI  delta  275  1238.37188044
CI  delta  276  1225.05525112
CI  delta  277  1211.92887363
CI  delta  278  1198.98936238
CI  delta  279  1186.23340387
CI  delta  280  1173.65775481
CI  delta  281  1161.25924047
CI  delta  282  1149.03475295
CI  delta  283  1136.98124956
CI  delta  284  1125.09575124
CI  delta  285  1113.37534097
CI  delta  286  1101.81716232
CI  delta  287  1090.41841796
CI  delta  288  1079.17636824
CI  delta  289  1068.08832981
CI  delta  290  1057.15167428
CI  delta  291  1046.36382689
CI  delta  292  1035.72226526
CI  delta  293  1025.22451817
CI  delta  294  1014.86816429
CI  delta  295  1004.65083106
CI  delta  296  994.570193545
CI  delta  297  984.6239733
CI  delta  298  974.809937306
CI  delta  299  965.125896913
CI  delta  300  955.569706815
CI  delta  301  946.139264049
CI  delta  302  936.832507029
CI  delta  303  927.647414591
CI  delta  304  918.582005082
CI  delta  305  909.63433545
CI  delta  306  900.802500379
CI  delta  307  892.084631433
CI  delta  308  883.478896226
CI  delta  309  874.983497611
CI  delta  310  866.596672897
