#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  beta  213  1342.74257059
CI  beta  214  1324.09309989
CI  beta  215  1305.78740436
CI  beta  216  1287.81759911
CI  beta  217  1270.17601523
CI  beta  218  1252.85519299
CI  beta  219  1235.8478752
CI  beta  220  1219.1470008
CI  beta  221  1202.74569871
CI  beta  222  1186.63728192
CI  beta  223  1170.81524175
CI  beta  224  1155.2732423
CI  beta  225  1140.00511514
CI  beta  226  1125.0048542
CI  beta  227  1110.26661075
CI  beta  228  1095.78468864
CI  beta  229  1081.55353971
CI  beta  230  1067.56775924
CI  beta  231  1053.82208172
CI  beta  232  1040.31137666
CI  beta  233  1027.03064455
CI  beta  234  1013.97501298
CI  beta  235  1001.13973293
CI  beta  236  988.520175069
CI  beta  237  976.111826304
CI  beta  238  963.910286369
CI  beta  239  951.91126455
CI  beta  240  940.110576515
CI  beta  241  928.504141253
CI  beta  242  917.087978107
CI  beta  243  905.858203907
CI  beta  244  894.811030197
CI  beta  245  883.942760548
CI  beta  246  873.249787966
CI  beta  247  862.728592371
CI  beta  248  852.375738168
CI  beta  249  842.187871889
CI  beta  250  832.161719912
CI  beta  251  822.294086253
CI  beta  252  812.581850422
CI  beta  253  803.021965356
CI  beta  254  793.611455409
CI  beta  255  784.347414405
CI  beta  256  775.227003756
CI  beta  257  766.247450633
CI  beta  258  757.406046197
CI  beta  259  748.700143883
CI  beta  260  740.127157734
CI  beta  261  731.68456079
CI  beta  262  723.369883523
CI  beta  263  715.180712319
CI  beta  264  707.114688008
CI  beta  265  699.169504435
CI  beta  266  691.342907078
CI  beta  267  683.632691701
CI  beta  268  676.036703053
CI  beta  269  668.5528336
CI  beta  270  661.1790223
CI  beta  271  653.913253407
CI  beta  272  646.75355532
CI  beta  273  639.697999451
CI  beta  274  632.744699143
CI  beta  275  625.891808601
CI  beta  276  619.137521872
CI  beta  277  612.480071839
CI  beta  278  605.917729253
CI  beta  279  599.44880179
CI  beta  280  593.071633131
CI  beta  281  586.784602076
CI  beta  282  580.586121676
CI  beta  283  574.474638391
CI  beta  284  568.448631273
CI  beta  285  562.506611173
CI  beta  286  556.647119965
CI  beta  287  550.868729796
CI  beta  288  545.170042356
CI  beta  289  539.549688165
CI  beta  290  534.006325885
CI  beta  291  528.538641646
CI  beta  292  523.14534839
CI  beta  293  517.82518524
CI  beta  294  512.576916874
CI  beta  295  507.39933293
CI  beta  296  502.291247414
CI  beta  297  497.251498131
CI  beta  298  492.278946131
CI  beta  299  487.372475169
CI  beta  300  482.530991174
CI  beta  301  477.753421744
CI  beta  302  473.03871564
CI  beta  303  468.385842305
CI  beta  304  463.793791388
CI  beta  305  459.261572286
CI  beta  306  454.788213693
CI  beta  307  450.372763163
CI  beta  308  446.014286686
CI  beta  309  441.71186827
CI  beta  310  437.46460954
CI  beta  311  433.271629341
CI  beta  312  429.132063357
CI  beta  313  425.045063734
CI  beta  314  421.009798719
CI  beta  315  417.025452299
CI  beta  316  413.09122386
CI  beta  317  409.206327845
CI  beta  318  405.369993428
CI  beta  319  401.58146419
CI  beta  320  397.839997808
CI  beta  321  394.144865747
CI  beta  322  390.495352965
CI  beta  323  386.89075762
CI  beta  324  383.330390788
CI  beta  325  379.813576185
CI  beta  326  376.339649899
CI  beta  327  372.907960127
CI  beta  328  369.517866914
CI  beta  329  366.168741908
CI  beta  330  362.859968113
CI  beta  331  359.590939649
CI  beta  332  356.361061521
CI  beta  333  353.16974939
CI  beta  334  350.016429352
CI  beta  335  346.900537722
CI  beta  336  343.821520819
CI  beta  337  340.778834764
CI  beta  338  337.771945275
CI  beta  339  334.800327471
CI  beta  340  331.863465681
CI  beta  341  328.960853251
CI  beta  342  326.091992368
CI  beta  343  323.256393874
CI  beta  344  320.453577095
CI  beta  345  317.683069668
CI  beta  346  314.944407375
CI  beta  347  312.237133977
CI  beta  348  309.560801058
CI  beta  349  306.914967867
CI  beta  350  304.299201166
CI  beta  351  301.71307508
CI  beta  352  299.156170953
CI  beta  353  296.628077205
CI  beta  354  294.128389192
CI  beta  355  291.656709073
CI  beta  356  289.212645672
CI  beta  357  286.795814352
CI  beta  358  284.405836887
CI  beta  359  282.042341337
CI  beta  360  279.704961927
CI  beta  361  277.393338927
CI  beta  362  275.107118539
CI  beta  363  272.845952779
CI  beta  364  270.609499367
CI  beta  365  268.39742162
CI  beta  366  266.209388346
CI  beta  367  264.045073736
CI  beta  368  261.904157265
CI  beta  369  259.786323591
CI  beta  370  257.691262461
CI  beta  371  255.618668609
CI  beta  372  253.56824167
CI  beta  373  251.539686081
CI  beta  374  249.532710999
CI  beta  375  247.547030207
CI  beta  376  245.582362034
CI  beta  377  243.638429266
CI  beta  378  241.714959067
CI  beta  379  239.811682897
CI  beta  380  237.928336436
CI  beta  381  236.064659501
CI  beta  382  234.220395978
CI  beta  383  232.395293742
CI  beta  384  230.58910459
CI  beta  385  228.801584163
CI  beta  386  227.032491885
CI  beta  387  225.281590888
CI  beta  388  223.548647949
CI  beta  389  221.833433423
CI  beta  390  220.135721181
CI  beta  391  218.455288548
CI  beta  392  216.791916236
CI  beta  393  215.145388291
CI  beta  394  213.51549203
CI  beta  395  211.902017986
CI  beta  396  210.304759846
CI  beta  397  208.723514404
CI  beta  398  207.158081499
CI  beta  399  205.608263966
CI  beta  400  204.073867582
CI  beta  401  202.554701019
CI  beta  402  201.050575785
CI  beta  403  199.561306185
CI  beta  404  198.086709267
CI  beta  405  196.626604775
CI  beta  406  195.180815105
CI  beta  407  193.749165258
CI  beta  408  192.331482796
CI  beta  409  190.927597798
CI  beta  410  189.53734282
CI  beta  411  188.160552846
CI  beta  412  186.797065257
CI  beta  413  185.44671978
CI  beta  414  184.109358457
CI  beta  415  182.784825602
CI  beta  416  181.472967763
CI  beta  417  180.173633687
CI  beta  418  178.886674279
CI  beta  419  177.611942572
CI  beta  420  176.349293687
CI  beta  421  175.0985848
CI  beta  422  173.859675109
CI  beta  423  172.632425797
CI  beta  424  171.416700007
CI  beta  425  170.212362801
CI  beta  426  169.019281135
CI  beta  427  167.837323823
CI  beta  428  166.666361513
CI  beta  429  165.506266652
CI  beta  430  164.356913458
CI  beta  431  163.218177893
CI  beta  432  162.089937633
CI  beta  433  160.972072042
CI  beta  434  159.864462144
CI  beta  435  158.766990596
CI  beta  436  157.679541663
CI  beta  437  156.602001192
CI  beta  438  155.534256585
CI  beta  439  154.476196779
CI  beta  440  153.427712215
CI  beta  441  152.388694821
CI  beta  442  151.359037984
CI  beta  443  150.338636528
CI  beta  444  149.327386693
CI  beta  445  148.325186112
CI  beta  446  147.331933788
CI  beta  447  146.347530073
CI  beta  448  145.37187665
CI  beta  449  144.404876508
CI  beta  450  143.446433924
CI  beta  451  142.496454444
CI  beta  452  141.554844861
CI  beta  453  140.621513198
