#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
CI  alpha  200  816.29547033
CI  alpha  201  804.202303141
CI  alpha  202  792.346837068
CI  alpha  203  780.723260419
CI  alpha  204  769.325931183
CI  alpha  205  758.149371279
CI  alpha  206  747.188261027
CI  alpha  207  736.437433829
CI  alpha  208  725.891871054
CI  alpha  209  715.546697117
CI  alpha  210  705.397174749
CI  alpha  211  695.438700434
CI  alpha  212  685.666800029
CI  alpha  213  676.077124539
CI  alpha  214  666.665446053
CI  alpha  215  657.427653832
CI  alpha  216  648.359750532
CI  alpha  217  639.457848577
CI  alpha  218  630.718166653
CI  alpha  219  622.137026341
CI  alpha  220  613.71084886
CI  alpha  221  605.436151935
CI  alpha  222  597.309546774
CI  alpha  223  589.327735151
CI  alpha  224  581.4875066
CI  alpha  225  573.785735696
CI  alpha  226  566.219379444
CI  alpha  227  558.785474753
CI  alpha  228  551.481135993
CI  alpha  229  544.303552652
CI  alpha  230  537.249987056
CI  alpha  231  530.317772183
CI  alpha  232  523.504309541
CI  alpha  233  516.807067121
CI  alpha  234  510.223577427
CI  alpha  235  503.751435558
CI  alpha  236  497.388297372
CI  alpha  237  491.131877697
CI  alpha  238  484.979948608
CI  alpha  239  478.930337762
CI  alpha  240  472.980926788
CI  alpha  241  467.129649727
CI  alpha  242  461.374491526
CI  alpha  243  455.713486581
CI  alpha  244  450.144717326
CI  alpha  245  444.66631287
CI  alpha  246  439.276447678
CI  alpha  247  433.973340288
CI  alpha  248  428.755252083
CI  alpha  249  423.620486085
CI  alpha  250  418.567385804
CI  alpha  251  413.594334109
CI  alpha  252  408.699752144
CI  alpha  253  403.882098278
CI  alpha  254  399.139867078
CI  alpha  255  394.47158833
CI  alpha  256  389.875826074
CI  alpha  257  385.351177681
CI  alpha  258  380.896272952
CI  alpha  259  376.509773246
CI  alpha  260  372.190370638
CI  alpha  261  367.936787097
CI  alpha  262  363.747773694
CI  alpha  263  359.622109829
CI  alpha  264  355.558602489
CI  alpha  265  351.556085518
CI  alpha  266  347.613418917
CI  alpha  267  343.729488161
CI  alpha  268  339.90320354
CI  alpha  269  336.133499513
CI  alpha  270  332.419334087
CI  alpha  271  328.759688213
CI  alpha  272  325.153565195
CI  alpha  273  321.599990125
CI  alpha  274  318.098009326
CI  alpha  275  314.646689816
CI  alpha  276  311.245118785
CI  alpha  277  307.892403087
CI  alpha  278  304.587668752
CI  alpha  279  301.330060501
CI  alpha  280  298.118741288
CI  alpha  281  294.952891843
CI  alpha  282  291.831710234
CI  alpha  283  288.754411442
CI  alpha  284  285.720226948
CI  alpha  285  282.728404325
CI  alpha  286  279.778206848
CI  alpha  287  276.868913117
CI  alpha  288  273.999816679
CI  alpha  289  271.170225676
CI  alpha  290  268.379462489
CI  alpha  291  265.626863397
CI  alpha  292  262.911778249
CI  alpha  293  260.233570141
CI  alpha  294  257.591615099
CI  alpha  295  254.985301776
CI  alpha  296  252.414031155
CI  alpha  297  249.877216259
CI  alpha  298  247.374281872
CI  alpha  299  244.90466426
CI  alpha  300  242.467810909
CI  alpha  301  240.063180265
CI  alpha  302  237.690241479
CI  alpha  303  235.348474161
CI  alpha  304  233.037368144
CI  alpha  305  230.756423245
CI  alpha  306  228.505149042
CI  alpha  307  226.283064651
CI  alpha  308  224.089698512
CI  alpha  309  221.924588174
CI  alpha  310  219.787280096
CI  alpha  311  217.677329444
CI  alpha  312  215.594299897
CI  alpha  313  213.53776346
CI  alpha  314  211.507300275
CI  alpha  315  209.502498444
CI  alpha  316  207.522953855
CI  alpha  317  205.568270005
CI  alpha  318  203.63805784
CI  alpha  319  201.731935588
CI  alpha  320  199.849528602
CI  alpha  321  197.990469206
CI  alpha  322  196.154396541
CI  alpha  323  194.340956424
CI  alpha  324  192.549801197
CI  alpha  325  190.780589592
CI  alpha  326  189.032986594
CI  alpha  327  187.306663306
CI  alpha  328  185.601296821
CI  alpha  329  183.916570093
CI  alpha  330  182.252171815
CI  alpha  331  180.607796298
CI  alpha  332  178.983143351
CI  alpha  333  177.37791817
CI  alpha  334  175.79183122
CI  alpha  335  174.224598132
CI  alpha  336  172.67593959
CI  alpha  337  171.145581229
CI  alpha  338  169.633253535
CI  alpha  339  168.13869174
CI  alpha  340  166.661635731
CI  alpha  341  165.20182995
CI  alpha  342  163.759023301
CI  alpha  343  162.332969066
CI  alpha  344  160.923424808
CI  alpha  345  159.530152287
CI  alpha  346  158.152917381
CI  alpha  347  156.791489994
CI  alpha  348  155.445643983
CI  alpha  349  154.115157075
CI  alpha  350  152.799810792
CI  alpha  351  151.499390374
CI  alpha  352  150.213684706
CI  alpha  353  148.942486247
CI  alpha  354  147.685590958
CI  alpha  355  146.442798234
CI  alpha  356  145.213910838
CI  alpha  357  143.998734833
CI  alpha  358  142.797079518
CI  alpha  359  141.608757368
CI  alpha  360  140.433583968
CI  alpha  361  139.271377958
CI  alpha  362  138.121960969
CI  alpha  363  136.98515757
CI  alpha  364  135.860795209
CI  alpha  365  134.748704158
CI  alpha  366  133.648717462
CI  alpha  367  132.560670884
CI  alpha  368  131.484402852
CI  alpha  369  130.419754413
CI  alpha  370  129.366569179
CI  alpha  371  128.324693282
CI  alpha  372  127.293975327
CI  alpha  373  126.274266343
CI  alpha  374  125.265419738
CI  alpha  375  124.26729126
CI  alpha  376  123.279738947
CI  alpha  377  122.302623087
CI  alpha  378  121.335806179
CI  alpha  379  120.379152888
CI  alpha  380  119.432530009
CI  alpha  381  118.495806426
CI  alpha  382  117.568853074
CI  alpha  383  116.651542903
CI  alpha  384  115.743750839
CI  alpha  385  114.845353751
CI  alpha  386  113.956230413
CI  alpha  387  113.076261472
CI  alpha  388  112.205329415
CI  alpha  389  111.343318533
CI  alpha  390  110.49011489
CI  alpha  391  109.645606292
CI  alpha  392  108.809682256
CI  alpha  393  107.98223398
CI  alpha  394  107.163154311
CI  alpha  395  106.352337719
CI  alpha  396  105.549680266
CI  alpha  397  104.75507958
CI  alpha  398  103.968434824
CI  alpha  399  103.189646675
CI  alpha  400  102.418617291
CI  alpha  401  101.655250291
CI  alpha  402  100.899450727
CI  alpha  403  100.151125058
CI  alpha  404  99.4101811274
CI  alpha  405  98.6765281396
CI  alpha  406  97.9500766353
CI  alpha  407  97.2307384694
CI  alpha  408  96.5184267882
CI  alpha  409  95.8130560075
CI  alpha  410  95.1145417909
CI  alpha  411  94.4228010288
CI  alpha  412  93.7377518176
CI  alpha  413  93.0593134391
CI  alpha  414  92.3874063409
CI  alpha  415  91.7219521163
CI  alpha  416  91.0628734858
CI  alpha  417  90.4100942776
CI  alpha  418  89.7635394093
CI  alpha  419  89.1231348701
CI  alpha  420  88.4888077024
CI  alpha  421  87.8604859849
CI  alpha  422  87.2380988153
CI  alpha  423  86.6215762933
CI  alpha  424  86.0108495042
CI  alpha  425  85.405850503
CI  alpha  426  84.8065122982
CI  alpha  427  84.2127688364
CI  alpha  428  83.6245549868
CI  alpha  429  83.0418065265
CI  alpha  430  82.4644601255
CI  alpha  431  81.8924533325
CI  alpha  432  81.3257245604
CI  alpha  433  80.7642130727
CI  alpha  434  80.2078589695
CI  alpha  435  79.6566031746
CI  alpha  436  79.1103874216
CI  alpha  437  78.5691542416
CI  alpha  438  78.0328469502
CI  alpha  439  77.5014096351
CI  alpha  440  76.9747871437
CI  alpha  441  76.4529250714
CI  alpha  442  75.9357697496
CI  alpha  443  75.4232682342
CI  alpha  444  74.9153682939
CI  alpha  445  74.4120183995
CI  alpha  446  73.9131677127
CI  alpha  447  73.4187660751
CI  alpha  448  72.928763998
CI  alpha  449  72.4431126519
CI  alpha  450  71.9617638559
CI  alpha  451  71.4846700681
CI  alpha  452  71.0117843758
CI  alpha  453  70.5430604853
CI  alpha  454  70.0784527129
CI  alpha  455  69.6179159752
CI  alpha  456  69.1614057802
CI  alpha  457  68.708878218
CI  alpha  458  68.2602899521
CI  alpha  459  67.8155982107
CI  alpha  460  67.3747607781
CI  alpha  461  66.937735986
CI  alpha  462  66.5044827058
CI  alpha  463  66.0749603401
CI  alpha  464  65.6491288146
CI  alpha  465  65.2269485706
CI  alpha  466  64.8083805571
CI  alpha  467  64.3933862232
CI  alpha  468  63.9819275105
CI  alpha  469  63.5739668461
CI  alpha  470  63.1694671353
CI  alpha  471  62.7683917542
CI  alpha  472  62.3707045432
CI  alpha  473  61.9763697998
CI  alpha  474  61.5853522721
CI  alpha  475  61.1976171521
CI  alpha  476  60.8131300689
CI  alpha  477  60.431857083
CI  alpha  478  60.0537646793
CI  alpha  479  59.6788197612
CI  alpha  480  59.3069896448
CI  alpha  481  58.9382420523
CI  alpha  482  58.5725451065
CI  alpha  483  58.2098673253
CI  alpha  484  57.8501776152
CI  alpha  485  57.4934452664
CI  alpha  486  57.1396399472
CI  alpha  487  56.7887316981
CI  alpha  488  56.4406909272
CI  alpha  489  56.0954884043
CI  alpha  490  55.7530952562
CI  alpha  491  55.4134829614
CI  alpha  492  55.0766233451
CI  alpha  493  54.7424885743
CI  alpha  494  54.4110511534
CI  alpha  495  54.0822839186
CI  alpha  496  53.756160034
CI  alpha  497  53.4326529866
CI  alpha  498  53.1117365819
CI  alpha  499  52.7933849394
CI  alpha  500  52.4775724882
CI  alpha  501  52.1642739628
CI  alpha  502  51.8534643987
CI  alpha  503  51.5451191284
CI  alpha  504  51.2392137772
CI  alpha  505  50.9357242589
CI  alpha  506  50.6346267723
CI  alpha  507  50.3358977971
CI  alpha  508  50.0395140897
CI  alpha  509  49.7454526799
CI  alpha  510  49.4536908669
CI  alpha  511  49.1642062157
CI  alpha  512  48.8769765533
CI  alpha  513  48.5919799654
CI  alpha  514  48.3091947927
CI  alpha  515  48.0285996276
CI  alpha  516  47.7501733107
CI  alpha  517  47.4738949272
CI  alpha  518  47.1997438043
CI  alpha  519  46.9276995071
CI  alpha  520  46.657741836
CI  alpha  521  46.3898508234
CI  alpha  522  46.1240067303
CI  alpha  523  45.8601900439
CI  alpha  524  45.5983814738
CI  alpha  525  45.3385619496
CI  alpha  526  45.080712618
CI  alpha  527  44.8248148394
CI  alpha  528  44.5708501856
CI  alpha  529  44.3188004368
CI  alpha  530  44.0686475789
CI  alpha  531  43.8203738007
CI  alpha  532  43.5739614914
CI  alpha  533  43.3293932378
CI  alpha  534  43.086651822
CI  alpha  535  42.8457202183
CI  alpha  536  42.6065815915
CI  alpha  537  42.3692192936
CI  alpha  538  42.1336168618
CI  alpha  539  41.8997580164
CI  alpha  540  41.6676266577
CI  alpha  541  41.4372068641
CI  alpha  542  41.20848289
CI  alpha  543  40.9814391631
CI  alpha  544  40.7560602825
CI  alpha  545  40.5323310162
CI  alpha  546  40.3102362994
CI  alpha  547  40.0897612319
CI  alpha  548  39.8708910762
