#SPECIES-NAME,  TRANSITION-TYPE,  N-LEVEL,  FREQUENCY-[MHZ]
3HeI  alpha  165  1451.242261284797
3HeI  alpha  166  1425.2501741786448
3HeI  alpha  167  1399.8751007478952
3HeI  alpha  168  1375.0988403206668
3HeI  alpha  169  1350.9038327048452
3HeI  alpha  170  1327.2731320467092
3HeI  alpha  171  1304.1903819016907
3HeI  alpha  172  1281.6397914549216
3HeI  alpha  173  1259.6061128314575
3HeI  alpha  174  1238.0746194413464
3HeI  alpha  175  1217.0310853055391
3HeI  alpha  176  1196.4617653142711
3HeI  alpha  177  1176.3533763695523
3HeI  alpha  178  1156.6930793684999
3HeI  alpha  179  1137.4684619851241
3HeI  alpha  180  1118.667522210799
3HeI  alpha  181  1100.2786526164468
3HeI  alpha  182  1082.2906253008462
3HeI  alpha  183  1064.692577491357
3HeI  alpha  184  1047.4739977658228
3HeI  alpha  185  1030.6247128653906
3HeI  alpha  186  1014.1348750700254
3HeI  alpha  187  997.9949501097221
3HeI  alpha  188  982.1957055861319
3HeI  alpha  189  966.7281998803605
3HeI  alpha  190  951.5837715240866
3HeI  alpha  191  936.7540290126295
3HeI  alpha  192  922.2308410387545
3HeI  alpha  193  908.0063271286543
3HeI  alpha  194  894.0728486606857
3HeI  alpha  195  880.4230002499769
3HeI  alpha  196  867.0496014819976
3HeI  alpha  197  853.9456889791479
3HeI  alpha  198  841.1045087856402
3HeI  alpha  199  828.5195090560662
3HeI  alpha  200  816.1843330343879
3HeI  alpha  201  804.0928123101212
3HeI  alpha  202  792.2389603398017
3HeI  alpha  203  780.6169662217953
3HeI  alpha  204  769.2211887134557
3HeI  alpha  205  758.046150480039
3HeI  alpha  206  747.086532565371
3HeI  alpha  207  736.3371690747473
3HeI  alpha  208  725.7930420606386
3HeI  alpha  209  715.4492766030459
3HeI  alpha  210  705.30113607573
3HeI  alpha  211  695.3440175907209
3HeI  alpha  212  685.5734476135566
3HeI  alpha  213  675.9850777419449
3HeI  alpha  214  666.5746806413601
3HeI  alpha  215  657.338146130442
3HeI  alpha  216  648.271477410805
3HeI  alpha  217  639.3707874346126
3HeI  alpha  218  630.6322954045377
3HeI  alpha  219  622.0523234008796
3HeI  alpha  220  613.6272931303777
3HeI  alpha  221  605.3537227918854
3HeI  alpha  222  597.2282240543235
3HeI  alpha  223  589.2474991423002
3HeI  alpha  224  581.4083380250834
3HeI  alpha  225  573.7076157049033
3HeI  alpha  226  566.1422896005286
3HeI  alpha  227  558.7093970226049
3HeI  alpha  228  551.4060527367783
3HeI  alpha  229  544.2294466116385
3HeI  alpha  230  537.1768413476817
3HeI  alpha  231  530.2455702846962
3HeI  alpha  232  523.4330352839612
3HeI  alpha  233  516.7367046830277
3HeI  alpha  234  510.1541113196409
3HeI  alpha  235  503.68285062276107
3HeI  alpha  236  497.3205787677998
3HeI  alpha  237  491.0650108936515
3HeI  alpha  238  484.91391937942495
3HeI  alpha  239  478.86513217841303
3HeI  alpha  240  472.9165312072269
3HeI  alpha  241  467.0660507881558
3HeI  alpha  242  461.311676142635
3HeI  alpha  243  455.65144193403904
3HeI  alpha  244  450.08343085791626
